ประเภท,รายการ,จำนวนโครงการ
กลุ่มอาชีพ,การประกอบและบริการอาหาร,8
กลุ่มอาชีพ,การประดิษฐ์,6
กลุ่มอาชีพ,การตลาด,6
กลุ่มอาชีพ,หัตถศิลป์,4
กลุ่มอาชีพ,แปรรูปอาหาร,4
กลุ่มอาชีพ,การเงินและบัญชี,4
กลุ่มอาชีพ,เสริมสวยและความงาม,3
กลุ่มอาชีพ,เกษตรผสมผสาน,3
กลุ่มอาชีพ,อัญมณี เครื่องประดับ และโลหะมีค่า,2
กลุ่มอาชีพ,0000,2
กลุ่มอาชีพ,เทคโนโลยีผลิตภัณฑ์อาหาร,2
กลุ่มอาชีพ,พลังงาน ไฟฟ้า และอิเล็กทรอนิกส์,2
กลุ่มอาชีพ,การท่องเที่ยว,2
กลุ่มอาชีพ,อื่นๆ (ไม่ตรงกับกลุ่มอาชีพมาตรฐาน),2
กลุ่มอาชีพ,การจัดการ,2
กลุ่มอาชีพ,สิ่งทอและเครื่องนุ่งห่ม,2
กลุ่มอาชีพ,บริการและเสริมสร้างสุขภาพ,2
กลุ่มอาชีพ,ศิลปะและการออกแบบ,2
กลุ่มอาชีพ,แฟชั่น,1
กลุ่มอาชีพ,ซอฟต์แวร์และการประยุกต์,1
กลุ่มอาชีพ,อื่นๆ (ตามบริบทของสถานศึกษาดำเนินการ ที่มีความหลากหลายแตกต่าง ของ 34 โรงเรียน),1
กลุ่มอาชีพ,(ข้อมูลรหัสเสียหาย),1
กลุ่มอาชีพ,อื่นๆ (เด็กและเยาวชนทั่วไปทุกกลุ่มอาชีพ),1
กลุ่มอาชีพ,อื่นๆ (อาชีพอิสระตามความสนใจของนักเรียน เช่น การทำผลิตภัณฑ์ทำความสะอาด  นักชงกาแฟ  ค้าขาย เป็นต้น),1
กลุ่มอาชีพ,เครื่องกลและยานยนต์,1
กลุ่มอาชีพ,ธุรกิจดิจิทัลและพาณิชย์อิเล็กทรอนิกส์,1
กลุ่มอาชีพ,การโรงแรม,1
กลุ่มอาชีพ,การผลิตพืช,1
รูปแบบการเรียนรู้,อบรมระยะสั้น,11
รูปแบบการเรียนรู้,หลักสูตรในระบบ,5
รูปแบบการเรียนรู้,ฝึกในสถานประกอบการ (Work-based),2
รูปแบบการเรียนรู้,ทวิภาคี/ทวิศึกษา,2
รูปแบบการเรียนรู้,อื่นๆ (ฝึกอบรมในสถาบันพัฒนาฝีมือแรงงาน ฯ จำนวน 280 ชั่วโมง และ ฝึกในสถานประกอบการ จำนวน 140 ชั่วโมง),1
รูปแบบการเรียนรู้,อื่นๆ (สอดแทรกใน กลุ่มสาระการงานอาชีพ และกิจกรรมต่างๆที่ สพฐ ดำเนินการเช่น ศิลปหัตถกรรม ทุนแลกงาน เป็นต้น),1
รูปแบบการเรียนรู้,อื่นๆ (สถานการณ์จริง),1
รูปแบบการเรียนรู้,อื่นๆ (การจัดกิจกรรมในสถานศึกษา),1
