หน่วยงาน,สังกัด,อำเภอที่ตั้ง,โครงการ,ผู้เข้าร่วมรวม
สำนักงานการท่องเที่ยวและกีฬาจังหวัดเชียงใหม่,อื่นๆ (กระทรวงการท่องเที่ยวและกีฬา),เมืองเชียงใหม่,2,
สถาบันพัฒนาฝีมือแรงงาน 19 เชียงใหม่,อื่นๆ (กรมพัฒนาฝีมือแรงงาน กระทรวงแรงงาน),แม่ริม,2,490
สำนักงานแรงงานจังหวัดเชียงใหม่,อื่นๆ (สำนักงานปลัดกระทรวงแรงงาน กระทรวงแรงงาน),เมืองเชียงใหม่,1,40
อุทยานวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยเชียงใหม่,อว. (อุดมศึกษาฯ),เมืองเชียงใหม่,1,2200
สำนักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),เมืองเชียงใหม่,1,34
สพป.เชียงใหม่ เขต 6,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),จอมทอง,1,
ศูนย์การศึกษาพิเศษ เขตการศึกษา 8 จังหวัดเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),แม่ริม,1,252
วิทยาลัยเทคโนโลยีพาณิชยการลานนา,สอศ. (อาชีวศึกษา),เมืองเชียงใหม่,1,5
โรงเรีบนโสตศึกษาอนุสารสุนทร,อื่นๆ (สศศ),เมืองเชียงใหม่,1,
วิทยาลัยการอาชีพฝาง,สอศ. (อาชีวศึกษา),ฝาง,1,50
เทศบาลนครเชียงใหม่,อื่นๆ (องคฺกรปกครองส่วนท้องถิ่น),เมืองเชียงใหม่,1,
วิทยาลัยสารพัดช่างเชียงใหม่,สอศ. (อาชีวศึกษา),เมืองเชียงใหม่,1,60
โรงเรียนสาธิตมหาวิทยาลัยราชภัฏเชียงใหม่,อว. (อุดมศึกษาฯ),เมืองเชียงใหม่,1,562
สำนักงานจัดหางานจังหวัดเชียงใหม่,อื่นๆ (กระทรวงแรงงาน กรมการจัดหางาน),เมืองเชียงใหม่,1,2860
โรงเรียนราชประชานุเคราะห์ 60 จังหวัดเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),แม่ริม,1,859
สพป.เชียงใหม่ เขต 4,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),สันป่าตอง,1,84
วิทยาลัยเทคนิคสันกำแพง,สอศ. (อาชีวศึกษา),แม่ออน,1,25
วิทยาลัยเทคโนโลยีพณิชยการเชียงใหม่,สอศ. (อาชีวศึกษา),เมืองเชียงใหม่,1,66
โรงเรียนราชประชานุเคราะห์ 30,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),แม่อาย,1,450
สำนักงานส่งเสริมการเรียนรู้ประจำจังหวัดเชียงใหม่,สกร./กศน. (กรมส่งเสริมการเรียนรู้),แม่ริม,1,4265
โรงเรียนออทิสติกเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),แม่ริม,1,
