จำนวนโครงการที่ครอบคลุมแต่ละอำเภอ — หนึ่งโครงการนับได้หลายอำเภอ จึงบวกรวมเป็นยอดจังหวัดไม่ได้,,
อำเภอ,โครงการที่ครอบคลุม,รายชื่อโครงการ
เมืองเชียงใหม่,13,กิจกรรมส่งเสริมการท่องเที่ยวประเพณีท · กิจกรรมส่งเสริมการท่องเที่ยวเชิงอาหา · กิจกรรม เพิ่มทักษะด้านอาชีพแก่นักเรี · กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการยกระดับผลิตภาพและพัฒนากำลังคน · โครงการ 3 ม. มีงาน มีเงิน มีวุฒ · กิจกรรมหาราบได้ระหว่างเรียน · โครงการออมสินสารพัดช่างสารพัดอาชีพ เ · สัปดาห์คณิตศาสตร์ · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการการจัดการอาชีวศึกษาระบบทวิภาค · โครงการพัฒนาอาชีพชุมชน · ผลิตภัณฑ์ฝาขวด “Cap2 Craft”
แม่ริม,8,กิจกรรม เพิ่มทักษะด้านอาชีพแก่นักเรี · กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการยกระดับผลิตภาพและพัฒนากำลังคน · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · ส่งเสริมและพัฒนาทักษะอาชีพสำหรับนักเ · โครงการการจัดการอาชีวศึกษาระบบทวิภาค · โครงการพัฒนาอาชีพชุมชน
หางดง,6,กิจกรรม เพิ่มทักษะด้านอาชีพแก่นักเรี · กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · ส่งเสริมทักษะอาชีพ และการมีรายได้ระห · โครงการการจัดการอาชีวศึกษาระบบทวิภาค · โครงการพัฒนาอาชีพชุมชน
สันทราย,6,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการยกระดับผลิตภาพและพัฒนากำลังคน · กิจกรรมหาราบได้ระหว่างเรียน · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการการจัดการอาชีวศึกษาระบบทวิภาค · โครงการพัฒนาอาชีพชุมชน
พร้าว,5,โครงการยกระดับคุณภาพชีวิตแรงงานนอกระ · กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการพัฒนาอาชีพชุมชน
แม่อาย,5,โครงการยกระดับคุณภาพชีวิตแรงงานนอกระ · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการสืบสานงานตามพระราชดำริ/นักธุร · โครงการพัฒนาอาชีพชุมชน
จอมทอง,5,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการการจัดการศึกษาเพื่อการมีงานทำ · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการพัฒนาอาชีพชุมชน
ดอยสะเก็ด,5,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการยกระดับผลิตภาพและพัฒนากำลังคน · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการพัฒนาอาชีพชุมชน
ฝาง,5,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการ การเป็นผู้ประกอบการหรือประกอ · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการพัฒนาอาชีพชุมชน
สันป่าตอง,5,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · ส่งเสริมทักษะอาชีพ และการมีรายได้ระห · โครงการพัฒนาอาชีพชุมชน
สันกำแพง,5,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการส่งเสริมและพัฒนาทักษะอาชีพสำห · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · โครงการการจัดการอาชีวศึกษาระบบทวิภาค · โครงการพัฒนาอาชีพชุมชน
สารภี,5,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาช · โครงการเตรียมความพร้อมแก่กลุ่มเป้าหม · ส่งเสริมทักษะอาชีพ และการมีรายได้ระห · โครงการการจัดการอาชีวศึกษาระบบทวิภาค · โครงการพัฒนาอาชีพชุมชน
