รหัส,ชื่อโครงการ,หน่วยงาน,สังกัด,ปี,สถานะ,บทบาท,พื้นที่ดำเนินการ,กลุ่มอาชีพ,รูปแบบการเรียนรู้,ระดับการศึกษา,ช่วงอายุ,กลุ่มเป้าหมายเฉพาะ,แหล่งที่มา,ลักษณะสนับสนุน,เป้าหมาย,ผู้สมัคร,ผู้เข้าร่วม,ผู้ผ่าน,ติดตามได้,นำไปใช้,งบประมาณ,ผลลัพธ์,เสนอ BP
L2E-2568-0022,โครงการยกระดับคุณภาพชีวิตแรงงานนอกระบบโดยเครือข่ายชุมชนผ่านการขึ้นทะเบียนแรงงานนอกระบบ,สำนักงานแรงงานจังหวัดเชียงใหม่,อื่นๆ (สำนักงานปลัดกระทรวงแรงงาน กระทรวงแรงงาน),2569,เผยแพร่,ดำเนินการเอง,พร้าว · แม่อาย,เสริมสวยและความงาม · หัตถศิลป์,อบรมระยะสั้น,เยาวชน/ประชาชนทั่วไป,60 ปีขึ้นไป · 45-59 ปี,ผู้สูงอายุ · ประชาชนทั่วไป,อื่นๆ (งบประมาณจากกระทรวง),งบประมาณ · ผู้เชี่ยวชาญ/วิทยากร · อุปกรณ์/วัสดุ,2,40,40,40,40,,51400,มีรายได้จากทักษะ,ไม่
L2E-2568-0023,กิจกรรมการฝึกอบรมหลักสูตรเชฟอาหารไทยมืออาชีพ (ภาคเหนือตอนบน),อุทยานวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยเชียงใหม่,อว. (อุดมศึกษาฯ),2568,ไม่เผยแพร่,ดำเนินการเอง,,,หลักสูตรในระบบ · อบรมระยะสั้น,เยาวชน/ประชาชนทั่วไป,18-24 ปี · 35-44 ปี · 25-34 ปี · 45-59 ปี,ผู้ว่างงาน · ประชาชนทั่วไป,ความร่วมมือกับภาคี,งบประมาณ · ผู้เชี่ยวชาญ/วิทยากร · สถานที่/แหล่งเรียนรู้ · การรับรองสมรรถนะ · อุปกรณ์/วัสดุ · ฝึกงาน/ฝึกประสบการณ์,2000,,2200,,,,,มีรายได้จากทักษะ · เริ่มต้นธุรกิจ · มีรายได้ต่อเนื่อง · ศึกษาต่อ/พัฒนาทักษะ,
L2E-2568-0024,กิจกรรมส่งเสริมการท่องเที่ยวประเพณีท้องถิ่นวิถีชาติพันธุ์ล้านนา  ภายใต้โครงการส่งเสริมการท่องเที่ยวชาติพันธุ์สีสันแห่งล้านนา ประจำปีงบประมาณ พ.ศ. 2569,สำนักงานการท่องเที่ยวและกีฬาจังหวัดเชียงใหม่,อื่นๆ (กระทรวงการท่องเที่ยวและกีฬา),2569,เผยแพร่,ดำเนินการเอง,เมืองเชียงใหม่,อัญมณี เครื่องประดับ และโลหะมีค่า · แฟชั่น · การประดิษฐ์ · ซอฟต์แวร์และการประยุกต์ · 0000 · 0000,อบรมระยะสั้น,เยาวชน/ประชาชนทั่วไป,35-44 ปี · 45-59 ปี · 60 ปีขึ้นไป · 25-34 ปี,กลุ่มชาติพันธุ์/บนพื้นที่สูง · ประชาชนทั่วไป,อื่นๆ (กลุ่มจังหวัดภาคเหนือตอนบน 1 ได้จัดสรรงบประมาณโครงการตามแผนปฏิบัติราชการประจำปีของกลุ่มจังหวัดภาคเหนือตอนบน 1 ประจำปีงบประมาณ พ.ศ. 2569 ให้กับสำนักงานการท่องเที่ยวและกีฬาจังหวัดเชียงใหม่),งบประมาณ,,,,100,100,,4000000,มีรายได้จากทักษะ · ได้รับ Certificate/คุณวุฒิ · ศึกษาต่อ/พัฒนาทักษะ · เกิดผลิตภัณฑ์/บริการ · มีรายได้ต่อเนื่อง,
L2E-2568-0025,กิจกรรมส่งเสริมการท่องเที่ยวเชิงอาหาร “สำรับชาติพันธุ์ล้านนา” ภายใต้โครงการส่งเสริมการท่องเที่ยวชาติพันธุ์สีสันแห่งล้านนา ประจำปีงบประมาณ พ.ศ. 2569,สำนักงานการท่องเที่ยวและกีฬาจังหวัดเชียงใหม่,อื่นๆ (กระทรวงการท่องเที่ยวและกีฬา),2569,เผยแพร่,ดำเนินการเอง,เมืองเชียงใหม่,การประกอบและบริการอาหาร · แปรรูปอาหาร · เทคโนโลยีผลิตภัณฑ์อาหาร,อบรมระยะสั้น,เยาวชน/ประชาชนทั่วไป,25-34 ปี · 35-44 ปี · 45-59 ปี · 60 ปีขึ้นไป,กลุ่มชาติพันธุ์/บนพื้นที่สูง · ประชาชนทั่วไป,อื่นๆ (กลุ่มจังหวัดภาคเหนือตอนบน 1 ได้จัดสรรงบประมาณโครงการตามแผนปฏิบัติราชการประจำปีของกลุ่มจังหวัดภาคเหนือตอนบน 1 ประจำปีงบประมาณ พ.ศ. 2569 ให้กับสำนักงานการท่องเที่ยวและกีฬาจังหวัดเชียงใหม่),งบประมาณ,100,,,100,100,,2500000,ได้รับ Certificate/คุณวุฒิ,
L2E-2568-0026,กิจกรรม เพิ่มทักษะด้านอาชีพแก่นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับ,สถาบันพัฒนาฝีมือแรงงาน 19 เชียงใหม่,อื่นๆ (กรมพัฒนาฝีมือแรงงาน กระทรวงแรงงาน),2569,ไม่เผยแพร่,ทั้งสองบทบาท,แม่ริม · เมืองเชียงใหม่ · หางดง,พลังงาน ไฟฟ้า และอิเล็กทรอนิกส์ · การประกอบและบริการอาหาร · การท่องเที่ยว,ฝึกในสถานประกอบการ (Work-based) · อื่นๆ (ฝึกอบรมในสถาบันพัฒนาฝีมือแรงงาน ฯ จำนวน 280 ชั่วโมง และ ฝึกในสถานประกอบการ จำนวน 140 ชั่วโมง),มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,15-17 ปี · 18-24 ปี,อื่นๆ (นักเรียนที่ไม่ได้เรียนต่อหลังจบการศึกษาภาคบังคับและผู้ที่สนใจ ที่มีอายุระหว่าง 15 -25 ปี),นโยบายหน่วยงาน · แผนพัฒนาการศึกษา · ความต้องการของพื้นที่ · ความต้องการของผู้เรียน,งบประมาณ · อุปกรณ์/วัสดุ · สถานที่/แหล่งเรียนรู้,30,30,30,23,,,499200,มีรายได้จากทักษะ · ได้รับ Certificate/คุณวุฒิ,ไม่
L2E-2568-0027,กิจกรรมการพัฒนาผู้เรียนให้มีทักษะอาชีพที่จำเป็นแห่งอนาคต (Future Skills)  และส่งเสริม สนับสนุนการมีรายได้ระหว่างเรียน (Learn to Earn) ของสถานศึกษาในสังกัดสำนักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่ ประจำปีงบประมาณ พ.ศ.2569,สำนักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2569,เผยแพร่,สนับสนุน,เมืองเชียงใหม่ · จอมทอง · แม่แจ่ม · เชียงดาว · ดอยสะเก็ด · แม่แตง · แม่ริม · สะเมิง · ฝาง · พร้าว · สันป่าตอง · สันกำแพง · สันทราย · หางดง · ฮอด · ดอยเต่า · อมก๋อย · สารภี · เวียงแหง · ไชยปราการ · แม่วาง · แม่ออน · ดอยหล่อ · กัลยาณิวัฒนา,อื่นๆ (ตามบริบทของสถานศึกษาดำเนินการ ที่มีความหลากหลายแตกต่าง ของ 34 โรงเรียน),อื่นๆ (สอดแทรกใน กลุ่มสาระการงานอาชีพ และกิจกรรมต่างๆที่ สพฐ ดำเนินการเช่น ศิลปหัตถกรรม ทุนแลกงาน เป็นต้น),มัธยมศึกษาตอนปลาย · มัธยมศึกษาตอนต้น,ต่ำกว่า 15 ปี · 15-17 ปี · 18-24 ปี,,นโยบายกระทรวงศึกษาธิการ,อื่นๆ (ส่งเสริม สนับสนุน และขับเคลื่อนกลไกการมีรายได้ระหว่างเรียน (Learn to Earn) ให้แก่ผู้เรียนอย่างเป็นรูปธรรม) · ฝึกงาน/ฝึกประสบการณ์,34,34,34,34,34,,0,,ไม่
L2E-2568-0028,โครงการยกระดับผลิตภาพและพัฒนากำลังคนเพื่อสร้างความสามารถในการแข่งขันภาคอุตสาหกรรม,สถาบันพัฒนาฝีมือแรงงาน 19 เชียงใหม่,อื่นๆ (กรมพัฒนาฝีมือแรงงาน กระทรวงแรงงาน),2569,ไม่เผยแพร่,ทั้งสองบทบาท,แม่ริม · ดอยสะเก็ด · สันทราย · เมืองเชียงใหม่,(ข้อมูลรหัสเสียหาย),อบรมระยะสั้น,ปวช. (ประกาศนียบัตรวิชาชีพ) · ปวส. (ประกาศนียบัตรวิชาชีพชั้นสูง) · ปริญญาตรี · มัธยมศึกษาตอนปลาย · อนุปริญญา,18-24 ปี · 25-34 ปี · 35-44 ปี · 45-59 ปี · 60 ปีขึ้นไป,ประชาชนทั่วไป · อื่นๆ (แรงงานในสถานประกอบการ แรงงานผู้ประกอบอาชีพอิสระ แรงงานใหม่ ผู้ว่างงาน) · ผู้ว่างงาน,นโยบายหน่วยงาน · ความต้องการของพื้นที่ · ความต้องการของสถานประกอบการ,อุปกรณ์/วัสดุ · งบประมาณ · ผู้เชี่ยวชาญ/วิทยากร · สถานที่/แหล่งเรียนรู้,460,460,460,384,,,1558000,มีรายได้จากทักษะ · ได้รับ Certificate/คุณวุฒิ,ไม่
L2E-2568-0032,โครงการการจัดการศึกษาเพื่อการมีงานทำ และเสริมสร้างทักษะอาชีพในโรงเรียน ประจำปีงบประมาณ 2569,สพป.เชียงใหม่ เขต 6,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2569,ไม่เผยแพร่,สนับสนุน,จอมทอง · แม่แจ่ม · กัลยาณิวัฒนา,,,ประถมศึกษา · มัธยมศึกษาตอนต้น · มัธยมศึกษาตอนปลาย,ต่ำกว่า 15 ปี · 15-17 ปี,,นโยบายกระทรวงศึกษาธิการ · นโยบายหน่วยงาน,อื่นๆ (ส่งเสริม สนับสนุน ให้สถานศกึษาเสริมสร้างนักเรียนด้านทักษะอาชีพ และการมีรายได้ระหว่างเรียน สอดคล้องกับความสนใจและศักยภาพของนักเรียนเพื่อเตรียมคนให้มีทักษะและศักยภาพให้สอดคล้องกับความต้องการของตลาดงาน ให้สามารถก้าวสู่โลกแห่งการศึกษาต่อและมีงานทำอย่างมีคุณภาพ),11028,,,11028,,,,,
L2E-2568-0033,โครงการส่งเสริมและพัฒนาทักษะอาชีพสำหรับนักเรียนในสถานศึกษา สังกัดสำนักบริหารงานการศึกษาพิเศษ โดยศูนย์การศึกษาพิเศษ  เขตการศึกษา 8 จังหวัดเชียงใหม่,ศูนย์การศึกษาพิเศษ เขตการศึกษา 8 จังหวัดเชียงใหม่,สพฐ. (สนง.คกก.การศึกษาขั้นพื้นฐาน),2568,เผยแพร่,สนับสนุน,จอมทอง · เชียงดาว · ดอยสะเก็ด · แม่แตง · แม่ริม · ฝาง · แม่อาย · พร้าว · สันป่าตอง · สันกำแพง · แม่วาง · ดอยหล่อ,อื่นๆ (ไม่ตรงกับกลุ่มอาชีพมาตรฐาน),อบรมระยะสั้น,อื่นๆ (เตรียมความพร้อม),ต่ำกว่า 15 ปี,ผู้เรียนที่มีความต้องการพิเศษ · อื่นๆ (ผู้ปกครอง),นโยบายหน่วยงาน,ทุน,252,252,252,252,252,,30000,,ไม่
L2E-2568-0035,โครงการ 3 ม. มีงาน มีเงิน มีวุฒ,วิทยาลัยเทคโนโลยีพาณิชยการลานนา,สอศ. (อาชีวศึกษา),2569,เผยแพร่,ทั้งสองบทบาท,เมืองเชียงใหม่,การตลาด,ทวิภาคี/ทวิศึกษา,ปวส. (ประกาศนียบัตรวิชาชีพชั้นสูง),18-24 ปี,ประชาชนทั่วไป,นโยบายหน่วยงาน · ความต้องการของสถานประกอบการ · ความต้องการของผู้เรียน · ความต้องการของพื้นที่,ฝึกงาน/ฝึกประสบการณ์ · ร่วมพัฒนาหลักสูตร,10,5,5,5,5,,-2,,ไม่
