สรุปข้อมูลโครงการ Learn to Earn จังหวัดเชียงใหม่ — ถอดรหัสและแปลงค่าครบถ้วน,,
แหล่ง: ชีต 04_Projects · แปลงรหัสทุกช่องเป็นชื่อภาษาไทยตาม Code_Lists,,
,,
ตัวชี้วัด,ค่า,หมายเหตุ
โครงการทั้งหมด,23,หลังตัดรายการทดสอบและที่ถูกลบออกแล้ว
   เผยแพร่,16,
   ยังไม่เผยแพร่,7,
หน่วยงานที่ส่งข้อมูล,21,ภาคการศึกษา แรงงาน ท้องถิ่น และเอกชน
,,
เป้าหมายตามแผน,21361,กรอก 19/23 โครงการ
ผู้สมัคร/สนใจ,10084,กรอก 16/23
ผู้เข้าร่วมจริง,12302,กรอก 17/23
ผู้ผ่านกิจกรรม,21219,กรอก 21/23
ผู้ติดตามผลได้,8601,กรอก 17/23
ผู้นำทักษะไปใช้จริง,1140,กรอก 5/23
ดึงกลุ่มนอกระบบกลับ,454,กรอก 2/23
งบประมาณรวม (บาท),8819998,กรอก 16/23
,,
มีงานทำ,,จากข้อมูลติดตามผล
อาชีพอิสระ,,
เจ้าของกิจการ,,
ยังไม่มีงานทำ,,
,,
ข้อควรระวัง,,
• ตัวเลขรวมเป็นผลรวมเฉพาะโครงการที่กรอกช่องนั้น ไม่ใช่ยอดทั้งจังหวัด,,
• หนึ่งโครงการครอบคลุมได้หลายอำเภอ จึงบวกจำนวนโครงการรายอำเภอเป็นยอดจังหวัดไม่ได้,,
• ผู้เข้าร่วม ผู้ผ่าน ผู้ติดตามผล เป็นคนละฐาน ไม่ควรนำมาหารเป็นอัตราโดยตรง,,
• L2E-2568-0028 มีรหัสกลุ่มอาชีพเสียหาย (Google Sheets แปลงเป็นตัวเลข) ต้องแก้ไขผ่านฟอร์มใหม่,,
